Country,Literacy,IMR
Algeria,89,26
Angola,66,96
Benin,45,68
Botswana,97,20
Burkina Faso,33,82
Burundi,78,86
Cameroon,77,79
Cape Verde,99,18
Central African Republic,58,108
Chad,41,97
Comoros,85,59
Congo,78,64
C̫te d'Ivoire,62,81
Egypt,84,18
Equatorial Guinea,98,80
Eritrea,87,46
Ethiopia,47,52
Gabon,97,49
Gambia,62,58
Ghana,80,52
Guinea,57,79
Guinea-Bissau,65,98
Kenya,94,48
Lesotho,98,63
Liberia,82,58
Libya,100,13
Madagascar,64,43
Malawi,87,53
Mali,34,98
Mauritania,65,76
Mauritius,98,13
Morocco,72,28
Mozambique,65,72
Namibia,95,30
Niger,23,66
Nigeria,66,78
Rwanda,78,38
Sao Tome and Principe,96,58
Senegal,56,47
Seychelles,99,12
Sierra Leone,50,119
South Africa,98,35
Swaziland,95,69
Togo,75,73
Tunisia,96,14
Uganda,85,58
Zambia,67,53
