Species,Category
Hexanchus griseus,Near Threatened
Lamna nasus,Vulnerable
Leucoraja lentiginosa,Least Concern
Dactylobatus clarkii,Least Concern
Pseudobatos percellens,Endangered
Myliobatis goodei,Vulnerable
Etmopterus pusillus,Least Concern
Dipturus oregoni,Least Concern
Etmopterus lucifer,Least Concern
Carcharhinus altimus,Near Threatened
Myliobatis freminvillii,Vulnerable
Dipturus teevani,Least Concern
Springeria folirostris,Least Concern
Cruriraja rugosa,Least Concern
Rostroraja texana,Least Concern
Alopias superciliosus,Vulnerable
Rajella purpuriventralis,Least Concern
Dipturus olseni,Least Concern
Pteroplatytrygon violacea,Least Concern
Mobula hypostoma,Endangered
Pseudobatos lentiginosus,Vulnerable
Rhincodon typus,Endangered
Rhynchobatus palpebratus,Near Threatened
Squalus suckleyi,Least Concern
Carcharhinus obscurus,Endangered
Carcharodon carcharias,Vulnerable
Notorynchus cepedianus,Vulnerable
Centrophorus granulosus,Endangered
Squatina occulta,Critically Endangered
Odontaspis noronhai,Least Concern
Alopias vulpinus,Vulnerable
Isurus oxyrinchus,Endangered
Schroederichthys bivius,Least Concern
Galeorhinus galeus,Critically Endangered
Carcharhinus brevipinna,Vulnerable
Carcharhinus longimanus,Critically Endangered
Galeocerdo cuvier,Near Threatened
Prionace glauca,Near Threatened
Sphyrna lewini,Critically Endangered
Sphyrna mokarran,Critically Endangered
Sphyrna zygaena,Vulnerable
Pseudobatos horkelii,Critically Endangered
Carcharhinus galapagensis,Least Concern
Carcharhinus brachyurus,Vulnerable
Centroscymnus coelolepis,Near Threatened
Echinorhinus brucus,Endangered
Heptranchias perlo,Near Threatened
Isistius brasiliensis,Least Concern
Squalus mitsukurii,Endangered
Apristurus parvipinnis,Least Concern
Mitsukurina owstoni,Least Concern
Pseudotriakis microdon,Least Concern
Benthobatis kreffti,Vulnerable
Galeus mincaronei,Vulnerable
Mustelus fasciatus,Critically Endangered
Psammobatis bergi,Least Concern
Psammobatis extenta,Least Concern
Schroederichthys saurisqualus,Vulnerable
Schroederichthys tenuis,Least Concern
Scyliorhinus haeckelii,Data Deficient
Scyliorhinus hesperius,Least Concern
Rhinoptera brasiliensis,Vulnerable
Sympterygia bonapartii,Near Threatened
Urotrygon microphthalmum,Critically Endangered
Euprotomicroides zantedeschia,Least Concern
Sympterygia acuta,Critically Endangered
Dipturus leptocaudus,Vulnerable
Gurgesiella dorsalifera,Vulnerable
Rhizoprionodon lalandii,Vulnerable
Discopyge tschudii,Least Concern
Rhinoptera bonasus,Vulnerable
Tetronarce puelcha,Critically Endangered
Harriotta raleighana,Least Concern
Dasyatis hypostigma,Endangered
Hypanus say,Near Threatened
Hydrolagus alberti,Least Concern
Sphyrna media,Critically Endangered
Sphyrna tudes,Critically Endangered
Mustelus schmitti,Critically Endangered
Mustelus higmani,Endangered
Cirrhigaleus asper,Data Deficient
Euprotomicrus bispinatus,Least Concern
Isistius plutodus,Least Concern
Squaliolus laticaudus,Least Concern
Zameus squamulosus,Least Concern
Isogomphodon oxyrhynchus,Critically Endangered
Carcharhinus porosus,Critically Endangered
Isurus paucus,Endangered
Parmaturus campechiensis,Least Concern
Etmopterus bigelowi,Least Concern
Etmopterus hillianus,Least Concern
Etmopterus schultzi,Least Concern
Atlantoraja cyclophora,Endangered
Diplobatis picta,Vulnerable
Squalus cubensis,Least Concern
Zapteryx brevirostris,Endangered
Dalatias licha,Vulnerable
Psammobatis rutrum,Least Concern
Bathyraja cousseauae,Least Concern
Callorhinchus callorynchus,Vulnerable
Etmopterus gracilispinis,Least Concern
Rioraja agassizii,Vulnerable
Atlantoraja platana,Endangered
Bathyraja brachyurops,Near Threatened
Dipturus trachydermus,Endangered
Etmopterus granulosus,Least Concern
Psammobatis lentiginosa,Least Concern
Dipturus mennii,Critically Endangered
Malacoraja obscura,Least Concern
Bathyraja schroederi,Least Concern
Narcine bancroftii,Least Concern
Bathyraja magellanica,Least Concern
Bathyraja multispinis,Near Threatened
Hydrolagus matallanasi,Vulnerable
Bathytoshia centroura,Vulnerable
Narcine brasiliensis,Near Threatened
Gurgesiella atlantica,Least Concern
Rhinobatos albomaculatus,Vulnerable
Amblyraja robertsi,Least Concern
Squatina nebulosa,Vulnerable
Crassinarke dormitor,Data Deficient
Torpedo marmorata,Data Deficient
Dipturus cerva,Near Threatened
Raja herwigi,Data Deficient
Neoraja africana,Data Deficient
Potamotrygon falkneri,Data Deficient
Dipturus tengu,Data Deficient
Myliobatis tobijei,Data Deficient
Oxynotus paradoxus,Data Deficient
Potamotrygon marinae,Data Deficient
Scymnodon ichiharai,Data Deficient
Potamotrygon schroederi,Data Deficient
Apristurus japonicus,Data Deficient
Carcharhinus sorrah,Near Threatened
Carcharhinus acronotus,Near Threatened
Cephaloscyllium sarawakensis,Data Deficient
Etmopterus spinax,Least Concern
Dipturus gigas,Data Deficient
Triakis scyllium,Least Concern
Torpedo torpedo,Data Deficient
Galeus melastomus,Least Concern
Scyliorhinus canicula,Least Concern
Somniosus pacificus,Data Deficient
Rhinobatos irvinei,Vulnerable
Torpedo mackayana,Data Deficient
Isistius labialis,Data Deficient
Raja undulata,Endangered
Squalus brevirostris,Data Deficient
Narcine timlei,Data Deficient
Dasyatis pastinaca,Data Deficient
Rhinoptera marginata,Near Threatened
Pastinachus solocirostris,Endangered
Potamotrygon signata,Data Deficient
Galeus longirostris,Data Deficient
Rhinobatos annandalei,Data Deficient
Scyliorhinus stellaris,Near Threatened
Mustelus punctulatus,Data Deficient
Okamejei meerdervoortii,Data Deficient
Orbiraja philipi,Data Deficient
Spiniraja whitleyi,Vulnerable
Iago omanensis,Least Concern
Paragaleus randalli,Near Threatened
Hemitriakis japanica,Least Concern
Centroscyllium ritteri,Data Deficient
Taeniurops grabata,Data Deficient
Gymnura tentaculata,Data Deficient
Mustelus norrisi,Data Deficient
Zanobatus schoenleinii,Data Deficient
Carcharhinus isodon,Least Concern
Squalus blainville,Data Deficient
Narcine prodorsalis,Data Deficient
Deania hystricosa,Data Deficient
Squatina japonica,Vulnerable
Torpedo bauchotae,Data Deficient
Galeus nipponensis,Data Deficient
Myliobatis aquila,Data Deficient
Lamiopsis temminckii,Endangered
Mustelus widodoi,Data Deficient
Potamotrygon castexi,Data Deficient
Potamotrygon yepezi,Data Deficient
Tetronarce nobiliana,Data Deficient
Parmaturus pilosus,Data Deficient
Raja straeleni,Data Deficient
Platyrhina sinensis,Vulnerable
Heteronarce prabhui,Data Deficient
Dipturus doutrei,Data Deficient
Cirrhoscyllium japonicum,Data Deficient
Narke dipterygia,Data Deficient
Potamotrygon orbignyi,Least Concern
Glyphis siamensis,Critically Endangered
Gymnura japonica,Data Deficient
Pristiophorus japonicus,Data Deficient
Okamejei acutispina,Data Deficient
Dipturus australis,Vulnerable
Bathyraja hesperafricana,Data Deficient
Okamejei kenojei,Data Deficient
Potamotrygon histrix,Data Deficient
Narcine atzi,Data Deficient
Rhinobatos lionotus,Data Deficient
Leucoraja leucosticta,Data Deficient
Potamotrygon brachyura,Data Deficient
Raja brachyura,Near Threatened
Chaenogaleus macrostoma,Vulnerable
Makararaja chindwinensis,Data Deficient
Plesiotrygon iwamae,Data Deficient
Paragaleus pectoralis,Data Deficient
Rhinobatos schlegelii,Data Deficient
Heterodontus japonicus,Least Concern
Cephaloscyllium umbratile,Data Deficient
Okamejei schmidti,Data Deficient
Atelomycterus baliensis,Vulnerable
Dipturus macrocauda,Data Deficient
Centroscyllium excelsum,Data Deficient
Temera hardwickii,Vulnerable
Dasyatis marmorata,Data Deficient
Potamotrygon constellata,Data Deficient
Potamotrygon ocellata,Data Deficient
Dipturus endeavouri,Near Threatened
Carcharhinus limbatus,Near Threatened
Carcharhinus plumbeus,Vulnerable
Carcharias taurus,Vulnerable
Carcharhinus borneensis,Endangered
Carcharhinus hemiodon,Critically Endangered
Carcharhinus leucas,Near Threatened
Scoliodon laticaudus,Near Threatened
Dipturus batis,Critically Endangered
Leptocharias smithii,Near Threatened
Hemitriakis leucoperiptera,Endangered
Mustelus asterias,Least Concern
Mustelus mustelus,Vulnerable
Mustelus canis,Near Threatened
Triakis acutipinna,Endangered
Carcharhinus amboinensis,Data Deficient
Glyphis glyphis,Endangered
Rhizoprionodon terraenovae,Least Concern
Raja microocellata,Near Threatened
Potamotrygon henlei,Least Concern
Potamotrygon leopoldi,Data Deficient
Potamotrygon motoro,Data Deficient
Taeniura lymma,Near Threatened
Aetobatus narinari,Near Threatened
Carcharhinus amblyrhynchoides,Near Threatened
Atelomycterus marmoratus,Near Threatened
Carcharhinus macloti,Near Threatened
Carcharhinus sealei,Near Threatened
Hemigaleus microstoma,Vulnerable
Loxodon macrorhinus,Least Concern
Nebrius ferrugineus,Vulnerable
Negaprion acutidens,Vulnerable
Rhizoprionodon oligolinx,Least Concern
Glyphis garricki,Critically Endangered
Oxynotus japonicus,Data Deficient
Apristurus fedorovi,Data Deficient
Apristurus macrorhynchus,Data Deficient
Potamotrygon schuemacheri,Data Deficient
Potamotrygon scobina,Data Deficient
Proscymnodon macracanthus,Data Deficient
Rajella sadowskii,Data Deficient
Galeus polli,Least Concern
Rajella barnardi,Least Concern
Rajella dissimilis,Least Concern
Amblyraja frerichsi,Data Deficient
Urolophus armatus,Data Deficient
Urolophus javanicus,Critically Endangered
Styracura schmardae,Data Deficient
Gymnura zonura,Vulnerable
Gymnura micrura,Data Deficient
Gymnura poecilura,Near Threatened
Aetobatus flagellum,Endangered
Rhinoptera javanica,Vulnerable
Torpedo microdiscus,Data Deficient
Torpedo panthera,Data Deficient
Mustelus sinusmexicanus,Data Deficient
Centrophorus tessellatus,Data Deficient
Carcharhinus perezi,Near Threatened
Carcharhinus signatus,Vulnerable
Chiloscyllium plagiosum,Near Threatened
Ginglymostoma cirratum,Data Deficient
Scyliorhinus cervigoni,Data Deficient
Etmopterus polli,Data Deficient
Rhizoprionodon porosus,Least Concern
Rostroraja alba,Endangered
Rhinobatos rhinobatos,Endangered
Psammobatis parvacauda,Data Deficient
Oxynotus centrina,Vulnerable
Raja montagui,Least Concern
Galeus atlanticus,Near Threatened
Gymnura altavela,Vulnerable
Rhinobatos penggali,Vulnerable
Rhinobatos jimbaranensis,Vulnerable
Glyphis gangeticus,Critically Endangered
Dipturus canutus,Endangered
Raja radula,Endangered
Rajella fyllae,Least Concern
Squatina dumeril,Least Concern
Aetobatus ocellatus,Vulnerable
Cruriraja hulleyi,Least Concern
Trygonorrhina dumerilii,Least Concern
Trygonorrhina fasciata,Least Concern
Deania profundorum,Near Threatened
Dipturus oxyrinchus,Near Threatened
Neoraja caerulea,Least Concern
Raja polystigma,Least Concern
Neoraja iberica,Least Concern
Raja asterias,Near Threatened
Malacoraja kreffti,Least Concern
Hydrolagus lusitanicus,Least Concern
Apristurus aphyodes,Least Concern
Dipturus nidarosiensis,Near Threatened
Leucoraja fullonica,Vulnerable
Leucoraja circularis,Endangered
Raja maderensis,Vulnerable
Galeus murinus,Least Concern
Leucoraja naevus,Least Concern
Rajella kukujevi,Least Concern
Leucoraja melitensis,Critically Endangered
Scymnodalatias garricki,Data Deficient
Carcharhinus melanopterus,Vulnerable
Potamotrygon tigrina,Endangered
Potamotrygon magdalenae,Least Concern
Aetomylaeus nichofii,Vulnerable
Aetomylaeus vespertilio,Endangered
Alopias pelagicus,Endangered
Amblyraja hyperborea,Least Concern
Apristurus albisoma,Least Concern
Apristurus ampliceps,Least Concern
Apristurus bucephalus,Data Deficient
Apristurus longicephalus,Least Concern
Aptychotrema rostrata,Least Concern
Aptychotrema timorensis,Vulnerable
Aptychotrema vincentiana,Least Concern
Asymbolus analis,Least Concern
Asymbolus funebris,Data Deficient
Asymbolus occiduus,Least Concern
Asymbolus pallidus,Least Concern
Asymbolus parvus,Least Concern
Asymbolus rubiginosus,Least Concern
Asymbolus submaculatus,Least Concern
Asymbolus vincenti,Least Concern
Atelomycterus fasciatus,Least Concern
Atelomycterus macleayi,Least Concern
Atelomycterus marnkalha,Data Deficient
Aulohalaelurus labiosus,Least Concern
Bathyraja ishiharai,Data Deficient
Brachaelurus colcloughi,Vulnerable
Brachaelurus waddi,Least Concern
Bythaelurus incanus,Data Deficient
Callorhinchus milii,Least Concern
Carcharhinus albimarginatus,Vulnerable
Carcharhinus cautus,Least Concern
Carcharhinus dussumieri,Endangered
Carcharhinus fitzroyensis,Least Concern
Carcharhinus tilstoni,Least Concern
Centrophorus harrissoni,Endangered
Centrophorus moluccensis,Vulnerable
Centrophorus squamosus,Endangered
Centrophorus westraliensis,Data Deficient
Centroscyllium kamoharai,Least Concern
Centroscymnus owstonii,Vulnerable
Centroselachus crepidater,Near Threatened
Cephaloscyllium albipinnum,Critically Endangered
Cephaloscyllium cooki,Data Deficient
Cephaloscyllium hiscosellum,Least Concern
Cephaloscyllium laticeps,Least Concern
Cephaloscyllium signourum,Data Deficient
Cephaloscyllium speccum,Data Deficient
Cephaloscyllium variegatum,Near Threatened
Cephaloscyllium zebrum,Data Deficient
Chiloscyllium punctatum,Near Threatened
Chimaera argiloba,Least Concern
Chimaera fulva,Least Concern
Chimaera lignaria,Least Concern
Chimaera macrospina,Least Concern
Chimaera phantasma,Vulnerable
Chlamydoselachus anguineus,Least Concern
Cirrhigaleus australis,Data Deficient
Bathytoshia brevicaudata,Least Concern
Deania calcea,Near Threatened
Deania quadrispinosa,Vulnerable
Dentiraja flindersi,Data Deficient
Dentiraja lemprieri,Least Concern
Dipturus acrobelus,Least Concern
Dipturus apricus,Least Concern
Dipturus falloargus,Data Deficient
Dipturus grahami,Least Concern
Dipturus gudgeri,Near Threatened
Dipturus healdi,Least Concern
Dipturus melanospilus,Data Deficient
Dipturus oculus,Least Concern
Dipturus polyommata,Least Concern
Dipturus queenslandicus,Data Deficient
Dipturus wengi,Least Concern
Echinorhinus cookei,Data Deficient
Etmopterus brachyurus,Data Deficient
Etmopterus dianthus,Least Concern
Etmopterus dislineatus,Least Concern
Etmopterus evansi,Least Concern
Etmopterus fusus,Least Concern
Etmopterus molleri,Data Deficient
Etmopterus unicolor,Data Deficient
Eucrossorhinus dasypogon,Least Concern
Eusphyra blochii,Endangered
Figaro boardmani,Least Concern
Figaro striatus,Data Deficient
Furgaleus macki,Least Concern
Galeus gracilis,Data Deficient
Glaucostegus granulatus,Critically Endangered
Glaucostegus typus,Critically Endangered
Gymnura australis,Least Concern
Halaelurus sellus,Least Concern
Hemigaleus australiensis,Least Concern
Hemipristis elongata,Vulnerable
Hemiscyllium ocellatum,Least Concern
Hemiscyllium trispeculare,Least Concern
Hemitriakis abdita,Data Deficient
Hemitriakis falcata,Least Concern
Heterodontus galeatus,Least Concern
Heterodontus portusjacksoni,Least Concern
Heterodontus zebra,Least Concern
Hexanchus nakamurai,Near Threatened
Hexatrygon bickelli,Least Concern
Himantura leoparda,Vulnerable
Himantura uarnak,Vulnerable
Hydrolagus homonycteris,Least Concern
Hydrolagus marmoratus,Least Concern
Hypnos monopterygius,Least Concern
Hypogaleus hyugaensis,Least Concern
Iago garricki,Least Concern
Insentiraja laxipella,Data Deficient
Insentiraja subtilispinosa,Least Concern
Irolita waitii,Least Concern
Irolita westraliensis,Data Deficient
Leucoraja pristispina,Least Concern
Mobula alfredi,Vulnerable
Mobula birostris,Endangered
Mustelus antarcticus,Least Concern
Mustelus ravidus,Least Concern
Mustelus stevensi,Least Concern
Mustelus walkeri,Data Deficient
Narcine lasti,Least Concern
Myliobatis hamlyni,Near Threatened
Narcine nelsoni,Least Concern
Narcine ornata,Least Concern
Narcine tasmaniensis,Least Concern
Narcine westraliensis,Least Concern
Neotrygon annotata,Near Threatened
Neotrygon leylandi,Least Concern
Neotrygon ningalooensis,Data Deficient
Neotrygon picta,Least Concern
Notoraja azurea,Least Concern
Notoraja hirticauda,Data Deficient
Notoraja ochroderma,Data Deficient
Notoraja sticta,Least Concern
Okamejei arafurensis,Least Concern
Okamejei leptoura,Least Concern
Orectolobus floridus,Least Concern
Orectolobus halei,Least Concern
Orectolobus hutchinsi,Least Concern
Orectolobus maculatus,Least Concern
Orectolobus ornatus,Least Concern
Orectolobus parvimaculatus,Least Concern
Orectolobus reticulatus,Data Deficient
Orectolobus wardi,Least Concern
Oxynotus bruniensis,Near Threatened
Parascyllium collare,Least Concern
Parascyllium elongatum,Data Deficient
Parascyllium ferrugineum,Least Concern
Parascyllium sparsimaculatum,Data Deficient
Parascyllium variolatum,Least Concern
Pavoraja alleni,Least Concern
Pavoraja arenaria,Data Deficient
Pavoraja mosaica,Least Concern
Pavoraja nitida,Least Concern
Pavoraja pseudonitida,Least Concern
Plesiobatis daviesi,Least Concern
Pristiophorus delicatus,Least Concern
Pristiophorus nudipinnis,Least Concern
Scymnodon plunketi,Vulnerable
Rhinobatos sainsburyi,Least Concern
Rhinochimaera pacifica,Least Concern
Rhinoptera neglecta,Data Deficient
Rhizoprionodon acutus,Vulnerable
Rhizoprionodon taylori,Least Concern
Rhynchobatus australiae,Critically Endangered
Scymnodalatias albicauda,Data Deficient
Sinobatis bulbicauda,Least Concern
Sinobatis caerulea,Data Deficient
Sinobatis filicauda,Data Deficient
Somniosus antarcticus,Least Concern
Squaliolus aliae,Least Concern
Squalus albifrons,Least Concern
Squalus altipinnis,Data Deficient
Squalus chloroculus,Endangered
Squalus crassispinus,Least Concern
Squalus edmundsi,Near Threatened
Squalus grahami,Near Threatened
Squalus megalops,Least Concern
Squalus montalbani,Vulnerable
Squalus nasutus,Near Threatened
Squalus notocaudatus,Least Concern
Squatina albipunctata,Vulnerable
Squatina australis,Least Concern
Squatina pseudocellata,Least Concern
Squatina tergocellata,Least Concern
Sutorectus tentaculatus,Least Concern
Taeniurops meyeni,Vulnerable
Trygonoptera galba,Least Concern
Trygonoptera imitata,Least Concern
Trygonoptera mucosa,Least Concern
Trygonoptera ovalis,Least Concern
Trygonoptera personata,Least Concern
Trygonoptera testacea,Near Threatened
Urogymnus asperrimus,Vulnerable
Urolophus bucculentus,Vulnerable
Urolophus circularis,Least Concern
Urolophus cruciatus,Least Concern
Urolophus expansus,Least Concern
Urolophus flavomosaicus,Least Concern
Urolophus gigas,Least Concern
Urolophus kapalensis,Near Threatened
Urolophus lobatus,Least Concern
Urolophus mitosis,Least Concern
Urolophus orarius,Endangered
Urolophus paucimaculatus,Least Concern
Urolophus piperatus,Least Concern
Urolophus sufflavus,Vulnerable
Urolophus viridis,Vulnerable
Urolophus westraliensis,Least Concern
Dipturus maugeana,Endangered
Carcharhinus coatesi,Least Concern
Carcharhinus tjutjot,Vulnerable
Pavoraja umbrosa,Least Concern
Myliobatis tenuicaudatus,Least Concern
Dipturus confusus,Critically Endangered
Rajella challengeri,Least Concern
Pastinachus ater,Least Concern
Apristurus melanoasper,Least Concern
Apristurus pinguis,Least Concern
Apristurus platyrhynchus,Least Concern
Apristurus sinensis,Data Deficient
Bathyraja richardsoni,Least Concern
Harriotta haeckeli,Least Concern
Hemiscyllium hallstromi,Vulnerable
Hydrolagus trolli,Least Concern
Parmaturus bigus,Data Deficient
Rhinochimaera africana,Data Deficient
Scymnodalatias sherwoodi,Data Deficient
Tetronarce tokionis,Data Deficient
Bathyraja panthera,Least Concern
Heterodontus francisci,Data Deficient
Apristurus brunneus,Data Deficient
Apristurus kampae,Data Deficient
Apristurus spongiceps,Data Deficient
Cephaloscyllium ventriosum,Least Concern
Parmaturus xaniurus,Least Concern
Mustelus californicus,Least Concern
Mustelus henlei,Least Concern
Mustelus lunulatus,Least Concern
Triakis semifasciata,Least Concern
Tetronarce californica,Least Concern
Zapteryx exasperata,Data Deficient
Platyrhinoidis triseriata,Least Concern
Bathyraja abyssicola,Data Deficient
Bathyraja aleutica,Least Concern
Bathyraja kincaidii,Least Concern
Bathyraja lindbergi,Least Concern
Bathyraja maculata,Least Concern
Bathyraja mariposa,Least Concern
Bathyraja microtrachys,Least Concern
Bathyraja minispinosa,Least Concern
Bathyraja parmifera,Least Concern
Bathyraja spinosissima,Least Concern
Bathyraja trachura,Least Concern
Bathyraja violacea,Least Concern
Amblyraja badia,Least Concern
Raja inornata,Least Concern
Beringraja rhina,Least Concern
Raja stellulata,Least Concern
Urobatis halleri,Least Concern
Hypanus dipterurus,Vulnerable
Myliobatis californicus,Least Concern
Hydrolagus colliei,Least Concern
Centroscyllium nigrum,Least Concern
Trigonognathus kabeyai,Least Concern
Bathyraja interrupta,Least Concern
Bathyraja taranetzi,Least Concern
Beringraja binoculata,Least Concern
Negaprion brevirostris,Near Threatened
Tetronarce cowleyi,Least Concern
Aetomylaeus caeruleofasciatus,Least Concern
Raja clavata,Near Threatened
Odontaspis ferox,Vulnerable
