Species,Category
Acroteriobatus zanzibarensis,Near Threatened
Pseudobatos productus,Near Threatened
Rhynchobatus immaculatus,Critically Endangered
Aetomylaeus bovinus,Data Deficient
Myliobatis ridens,Critically Endangered
Glaucostegus cemiculus,Critically Endangered
Bathytoshia lata,Least Concern
Telatrygon acutirostra,Near Threatened
Telatrygon zugei,Near Threatened
Hemitrygon akajei,Near Threatened
Hemitrygon bennetti,Vulnerable
Hemitrygon fluviorum,Vulnerable
Hemitrygon izuensis,Near Threatened
Hemitrygon laosensis,Endangered
Hemitrygon parvonigra,Data Deficient
Hypanus americanus,Near Threatened
Hypanus guttatus,Near Threatened
Hypanus marianae,Endangered
Hypanus rudis,Data Deficient
Megatrygon microps,Data Deficient
Fontitrygon colarensis,Critically Endangered
Fontitrygon garouaensis,Vulnerable
Fontitrygon geijskesi,Critically Endangered
Fontitrygon margarita,Endangered
Fontitrygon margaritella,Data Deficient
Fontitrygon ukpam,Endangered
Brevitrygon imbricata,Data Deficient
Fluvitrygon oxyrhyncha,Endangered
Fluvitrygon signifer,Endangered
Maculabatis astra,Least Concern
Maculabatis macrura,Endangered
Maculabatis toshi,Least Concern
Pateobatis fai,Vulnerable
Pateobatis hortlei,Vulnerable
Urogymnus dalyensis,Least Concern
Urogymnus polylepis,Endangered
Fluvitrygon kittipongi,Endangered
Carcharhinus leiodon,Endangered
Bythaelurus alcockii,Data Deficient
Torpedo adenensis,Endangered
Neoharriotta pumila,Least Concern
Acroteriobatus salalah,Near Threatened
Amblyraja reversa,Data Deficient
Benthobatis moresbyi,Least Concern
Chiloscyllium arabicum,Near Threatened
Rhinobatos punctifer,Near Threatened
Apristurus indicus,Least Concern
Acroteriobatus variegatus,Critically Endangered
Halaelurus boesemani,Vulnerable
Ctenacis fehlmanni,Least Concern
Torpedo suessii,Critically Endangered
Halaelurus quagga,Data Deficient
Heteronarce bentuviai,Data Deficient
Heteronarce mollis,Data Deficient
Narcine oculifera,Data Deficient
Heterodontus omanensis,Data Deficient
Raja pita,Data Deficient
Maculabatis randalli,Least Concern
Pastinachus sephen,Near Threatened
Planonasus parini,Least Concern
Apristurus breviventralis,Least Concern
Aetomylaeus milvus,Endangered
Acroteriobatus omanensis,Data Deficient
Okamejei ornata,Least Concern
Maculabatis arabica,Critically Endangered
Brevitrygon walga,Near Threatened
Orbiraja jensenae,Near Threatened
Squatina africana,Near Threatened
Squatina legnota,Critically Endangered
Carcharhinus obsoletus,Critically Endangered
Mustelus lenticulatus,Least Concern
Apristurus exsanguis,Least Concern
Cephaloscyllium isabellum,Least Concern
Dipturus innominatus,Least Concern
Dipturus nasutus,Least Concern
Etmopterus caudistigmus,Least Concern
Etmopterus pseudosqualiolus,Least Concern
Gollum attenuatus,Least Concern
Hydrolagus bemisi,Least Concern
Hydrolagus novaezealandiae,Least Concern
Parmaturus macmillani,Data Deficient
Squalus melanurus,Data Deficient
Typhlonarke aysoni,Least Concern
Aulohalaelurus kanakorum,Data Deficient
Bythaelurus dawsoni,Least Concern
Urolophus deforgesi,Least Concern
Urolophus neocaledoniensis,Least Concern
Urolophus papilio,Least Concern
Bathyraja shuntovi,Data Deficient
Brochiraja leviveneta,Data Deficient
Brochiraja spinifera,Data Deficient
Squalus raoulensis,Least Concern
Brochiraja microspinifera,Data Deficient
Parmaturus albimarginatus,Least Concern
Brochiraja albilabiata,Data Deficient
Somniosus longus,Data Deficient
Arhynchobatis asperrimus,Data Deficient
Brochiraja asperula,Data Deficient
Brochiraja aenigma,Data Deficient
Squalus bucephalus,Data Deficient
Scymnodon ringens,Vulnerable
Parmaturus albipenis,Least Concern
Asymbolus galacticus,Least Concern
Galeus priapus,Least Concern
Notoraja lira,Data Deficient
Notoraja sapphira,Data Deficient
Squalus griffini,Least Concern
Squatina aculeata,Critically Endangered
Squatina oculata,Critically Endangered
Squatina armata,Critically Endangered
Squatina argentina,Critically Endangered
Neotrygon kuhlii,Data Deficient
Taeniura lessoni,Data Deficient
Apristurus garricki,Least Concern
Centroscymnus macracanthus,Data Deficient
Tetronarce occidentalis,Least Concern
Bathyraja leucomelanos,Least Concern
Bathyraja pacifica,Least Concern
Brochiraja heuresa,Data Deficient
Brochiraja vittacauda,Data Deficient
Notoraja alisae,Least Concern
Notoraja fijiensis,Least Concern
Notoraja inusitata,Least Concern
Notoraja longiventralis,Least Concern
Chimaera carophila,Least Concern
Etmopterus viator,Least Concern
Apristurus australis,Least Concern
Squatina caillieti,Data Deficient
Squatina david,Near Threatened
Squalus rancureli,Near Threatened
Squatina squatina,Critically Endangered
Carcharhinus falciformis,Vulnerable
Apristurus nakayai,Least Concern
Rhynchobatus djiddensis,Critically Endangered
Paratrygon aiereba,Data Deficient
Megachasma pelagios,Least Concern
Lamna ditropis,Least Concern
Haploblepharus edwardsii,Endangered
Haploblepharus fuscus,Vulnerable
Poroderma africanum,Least Concern
Scyliorhinus capensis,Near Threatened
Scylliogaleus quecketti,Vulnerable
Triakis megalopterus,Least Concern
Sphyrna tiburo,Endangered
Dipturus laevis,Least Concern
Centrophorus uyato,Endangered
Chiloscyllium indicum,Vulnerable
Chiloscyllium griseum,Vulnerable
Cirrhigaleus barbifer,Least Concern
Gogolia filewoodi,Data Deficient
Hemiscyllium strahani,Vulnerable
Rhina ancylostoma,Critically Endangered
Rhynchobatus laevis,Critically Endangered
Apristurus gibbosus,Least Concern
Apristurus herklotsi,Least Concern
Apristurus internatus,Least Concern
Apristurus investigatoris,Least Concern
Apristurus laurussonii,Least Concern
Apristurus macrostomus,Least Concern
Apristurus micropterygeus,Least Concern
Apristurus profundorum,Least Concern
Bythaelurus immaculatus,Least Concern
Pliotrema warreni,Least Concern
Mollisquama parini,Least Concern
Centrophorus isodon,Endangered
Etmopterus sheikoi,Least Concern
Centroscyllium granulatum,Vulnerable
Oxynotus caribbaeus,Least Concern
Scymnodalatias oligodon,Least Concern
Apristurus canutus,Least Concern
Apristurus nasutus,Least Concern
Apristurus stenseni,Least Concern
Bathyraja longicauda,Least Concern
Heterodontus quoyi,Least Concern
Mustelus dorsalis,Vulnerable
Pseudobatos planiceps,Vulnerable
Schroederichthys chilensis,Least Concern
Sphyrna corona,Critically Endangered
Sympterygia brevicaudata,Near Threatened
Apristurus manis,Least Concern
Anacanthobatis marmorata,Near Threatened
Indobatis ori,Least Concern
Apristurus saldanha,Least Concern
Bythaelurus clevai,Data Deficient
Bythaelurus lutarius,Data Deficient
Cephaloscyllium sufflans,Near Threatened
Dipturus campbelli,Near Threatened
Dipturus lanceorostratus,Data Deficient
Dipturus pullopunctatus,Least Concern
Dipturus stenorhynchus,Data Deficient
Eridacnis sinuans,Least Concern
Halaelurus lineatus,Least Concern
Halaelurus natalensis,Vulnerable
Neoraja stehmanni,Least Concern
Pseudoginglymostoma brevicaudatum,Critically Endangered
Rajella caudaspinosa,Least Concern
Rajella ravidula,Least Concern
Torpedo fuscomaculata,Data Deficient
Apristurus riveri,Least Concern
Psammobatis normani,Least Concern
Psammobatis rudis,Least Concern
Sympterygia lima,Least Concern
Urobatis marmoratus,Data Deficient
Urotrygon chilensis,Near Threatened
Aculeola nigra,Near Threatened
Gurgesiella furvescens,Least Concern
Rajella nigerrima,Least Concern
Apristurus microps,Least Concern
Urolophus aurantiacus,Vulnerable
Urolophus kaianus,Data Deficient
Urobatis concentricus,Least Concern
Urobatis jamaicensis,Least Concern
Urobatis maculatus,Least Concern
Gymnura natalensis,Least Concern
Dipturus crosnieri,Vulnerable
Aetomylaeus maculatus,Endangered
Myliobatis chilensis,Vulnerable
Myliobatis longirostris,Vulnerable
Myliobatis peruvianus,Vulnerable
Rhinoptera steindachneri,Near Threatened
Torpedo andersoni,Least Concern
Tetronarce tremens,Least Concern
Neoharriotta carri,Near Threatened
Neoharriotta pinnata,Near Threatened
Rhinochimaera atlantica,Least Concern
Hypanus longus,Vulnerable
Hypanus sabinus,Least Concern
Acroteriobatus annulatus,Vulnerable
Acroteriobatus blochii,Least Concern
Rhinobatos hynnicephalus,Endangered
Pseudobatos leucorhynchus,Vulnerable
Rhinobatos nudidorsalis,Data Deficient
Glaucostegus obtusus,Critically Endangered
Glaucostegus thouin,Critically Endangered
Zapteryx xyster,Vulnerable
Rhynchobatus luebberti,Critically Endangered
Rhynchobatus springeri,Critically Endangered
Chimaera cubana,Least Concern
Chimaera jordani,Data Deficient
Chimaera owstoni,Data Deficient
Hydrolagus africanus,Least Concern
Hydrolagus barbouri,Data Deficient
Hydrolagus macrophthalmus,Least Concern
Hydrolagus mitsukurii,Near Threatened
Chimaera ogilbyi,Near Threatened
Hydrolagus purpurescens,Least Concern
Mobula munkiana,Vulnerable
Mobula tarapacana,Endangered
Mobula thurstoni,Endangered
Mustelus minicanis,Endangered
Heteroscymnoides marleyi,Least Concern
Somniosus microcephalus,Vulnerable
Pristiophorus schroederi,Least Concern
Galeus piperatus,Least Concern
Holohalaelurus melanostigma,Least Concern
Scyliorhinus meadi,Least Concern
Scyliorhinus retifer,Least Concern
Heterodontus mexicanus,Least Concern
Etmopterus bullisi,Least Concern
Etmopterus carteri,Least Concern
Etmopterus perryi,Least Concern
Etmopterus princeps,Least Concern
Etmopterus robinsi,Least Concern
Etmopterus sentosus,Least Concern
Etmopterus virens,Least Concern
Mustelus palumbes,Least Concern
Bathyraja aguja,Least Concern
Bythaelurus canescens,Vulnerable
Diplobatis colombiensis,Vulnerable
Diplobatis guamachensis,Vulnerable
Diplobatis ommata,Least Concern
Narcine brevilabiata,Vulnerable
Bathyraja albomaculata,Vulnerable
Hydrolagus pallidus,Least Concern
Hydrolagus mirabilis,Least Concern
Bathyraja papilionifera,Least Concern
Bathyraja griseocauda,Endangered
Chimaera monstrosa,Vulnerable
Bathyraja pallida,Least Concern
Bathyraja macloviana,Near Threatened
Amblyraja doellojuradoi,Least Concern
Hydrolagus affinis,Least Concern
Malacoraja spinacidermis,Least Concern
Mustelus mento,Critically Endangered
Mustelus whitneyi,Critically Endangered
Triakis maculata,Critically Endangered
Urobatis tumbesensis,Vulnerable
Dipturus ecuadoriensis,Data Deficient
Psammobatis scobina,Least Concern
Bathyraja scaphiops,Least Concern
Dipturus chilensis,Endangered
Bathyraja peruana,Least Concern
Narcine leoparda,Vulnerable
Rostroraja cervigoni,Near Threatened
Urotrygon venezuelae,Endangered
Pseudobatos prahli,Vulnerable
Etmopterus litvinovi,Least Concern
Etmopterus pycnolepis,Least Concern
Rajella eisenhardti,Least Concern
Hydrolagus mccoskeri,Least Concern
Benthobatis marcida,Least Concern
Hydrolagus alphus,Least Concern
Etmopterus burgessi,Least Concern
Eridacnis barbouri,Least Concern
Galeus schultzi,Least Concern
Urotrygon rogersi,Near Threatened
Scyliorhinus boa,Least Concern
Beringraja cortezensis,Least Concern
Cruriraja durbanensis,Data Deficient
Rostroraja velezi,Vulnerable
Rajella bathyphila,Least Concern
Fenestraja sibogae,Data Deficient
Cirrhoscyllium expolitum,Data Deficient
Nasolamia velox,Endangered
Sinobatis melanosoma,Least Concern
Fenestraja ishiyamai,Least Concern
Galeus eastmani,Least Concern
Bathyraja spinicauda,Near Threatened
Hemitriakis complicofasciata,Vulnerable
Rajella bigelowi,Least Concern
Bathyraja andriashevi,Least Concern
Cruriraja cadenati,Least Concern
Rajella lintea,Least Concern
Sinobatis borneensis,Least Concern
Centrophorus atromarginatus,Critically Endangered
Bathyraja murrayi,Least Concern
Amblyraja taaf,Data Deficient
Urotrygon simulatrix,Vulnerable
Aetomylaeus asperrimus,Data Deficient
Dipturus kwangtungensis,Data Deficient
Rhinobatos holcorhynchus,Data Deficient
Galeus sauteri,Least Concern
Glaucostegus halavi,Critically Endangered
Squalus hemipinnis,Vulnerable
Breviraja mouldi,Least Concern
Breviraja claramaculata,Least Concern
Centrophorus seychellorum,Least Concern
Leucoraja erinacea,Least Concern
Leucoraja garmani,Least Concern
Okamejei heemstrai,Least Concern
Breviraja nigriventralis,Least Concern
Narcine vermiculata,Least Concern
Bathyraja matsubarai,Least Concern
Dipturus bullisi,Least Concern
Electrolux addisoni,Least Concern
Scyliorhinus comoroensis,Data Deficient
Somniosus rostratus,Least Concern
Squalus japonicus,Endangered
Scyliorhinus torazame,Least Concern
Pentanchus profundicolus,Least Concern
Mobula kuhlii,Endangered
Pseudoraja fischeri,Least Concern
Etmopterus villosus,Least Concern
Bathyraja tzinovskii,Least Concern
Rostroraja ackleyi,Least Concern
Etmopterus splendidus,Least Concern
Scyliorhinus torrei,Least Concern
Parmaturus lanatus,Least Concern
Mustelus albipinnis,Least Concern
Bathyraja isotrachys,Least Concern
Cephalurus cephalus,Least Concern
Pseudobatos glaucostigmus,Vulnerable
Scyliorhinus garmani,Data Deficient
Galeus cadenati,Least Concern
Bathyraja diplotaenia,Least Concern
Malacoraja senta,Vulnerable
Galeus arae,Least Concern
Schroederobatis americana,Least Concern
Hongeo koreana,Critically Endangered
Amblyraja georgiana,Data Deficient
Amblyraja jenseni,Least Concern
Leucoraja wallacei,Vulnerable
Springeria longirostris,Least Concern
Parmaturus melanobranchus,Least Concern
Galeus springeri,Least Concern
Fenestraja maceachrani,Data Deficient
Bathyraja tunae,Least Concern
Rajella fuliginea,Least Concern
Poroderma pantherinum,Least Concern
Centroscyllium fabricii,Least Concern
Neoraja carolinensis,Least Concern
Narcine lingula,Vulnerable
Breviraja colesi,Least Concern
Rostroraja bahamensis,Least Concern
Bathyraja maccaini,Least Concern
Holohalaelurus grennian,Data Deficient
Okamejei hollandi,Vulnerable
Rhinoraja kujiensis,Least Concern
Okamejei mengae,Data Deficient
Maculabatis pastinacoides,Endangered
Urotrygon reticulata,Critically Endangered
Amblyraja radiata,Vulnerable
Paragaleus tengi,Endangered
Schroederichthys maculatus,Least Concern
Urogymnus lobistoma,Endangered
Orbiraja powelli,Near Threatened
Narcine insolita,Data Deficient
Acroteriobatus leucospilus,Endangered
Dactylobatus armatus,Least Concern
Chiloscyllium hasselti,Endangered
Narcine maculata,Vulnerable
Bathyraja smithii,Least Concern
Orectolobus japonicus,Least Concern
Dipturus garricki,Least Concern
Holohalaelurus regani,Least Concern
Rhinoraja longicauda,Near Threatened
Hemitrygon sinensis,Endangered
Centroscyllium ornatum,Least Concern
Fenestraja atripinna,Least Concern
Etmopterus decacuspidatus,Least Concern
Cephaloscyllium silasi,Critically Endangered
Fenestraja mamillidens,Least Concern
Raja miraletus,Least Concern
Leucoraja yucatanensis,Least Concern
Notoraja tobitukai,Least Concern
Tetronarce formosa,Near Threatened
Bathyraja smirnovi,Near Threatened
Narke capensis,Least Concern
Chiloscyllium burmensis,Vulnerable
Hemitrygon laevigata,Vulnerable
Bathyraja meridionalis,Least Concern
Himantura undulata,Endangered
Bathyraja fedorovi,Least Concern
Benthobatis yangi,Vulnerable
Leucoraja ocellata,Endangered
Mustelus manazo,Endangered
Paragaleus leucolomatus,Vulnerable
Fenestraja plutonia,Least Concern
Dasyatis chrysonota,Near Threatened
Halaelurus maculosus,Near Threatened
Narcine rierai,Data Deficient
Haploblepharus pictus,Least Concern
Holohalaelurus favus,Endangered
Fenestraja sinusmexicanus,Least Concern
Rostroraja eglanteria,Least Concern
Bathyraja irrasa,Vulnerable
Rhizoprionodon longurio,Vulnerable
Narke japonica,Vulnerable
Haploblepharus kistnasamyi,Vulnerable
Squalus lalannei,Least Concern
Beringraja pulchra,Endangered
Sinobatis stenosoma,Least Concern
Apristurus sibogae,Least Concern
Holohalaelurus punctatus,Endangered
Cruriraja parcomaculata,Least Concern
Cirrhoscyllium formosanum,Vulnerable
Halaelurus buergeri,Endangered
Urotrygon aspidura,Near Threatened
Fenestraja cubensis,Least Concern
Rostroraja equatorialis,Vulnerable
Acroteriobatus ocellatus,Data Deficient
Bathyraja trachouros,Near Threatened
Leucoraja compagnoi,Data Deficient
Breviraja spinosa,Least Concern
Cruriraja andamanica,Data Deficient
Cruriraja poeyi,Least Concern
Cruriraja atlantis,Least Concern
Mustelus griseus,Endangered
Narcine entemedor,Vulnerable
Rajella annandalei,Least Concern
Bathyraja bergi,Least Concern
Urotrygon munda,Near Threatened
Galeus antillensis,Least Concern
Proscyllium habereri,Vulnerable
Okamejei boesemani,Vulnerable
Bathyraja eatonii,Least Concern
Hemitrygon navarrae,Vulnerable
Rhinoraja odai,Least Concern
Squalus acutipinnis,Near Threatened
Heteronarce garmani,Near Threatened
Urotrygon nana,Near Threatened
Chimaera bahamaensis,Least Concern
Chimaera notafricana,Least Concern
Chimaera obscura,Least Concern
Squalus bassi,Least Concern
Hydrolagus melanophasma,Least Concern
Hemiscyllium galei,Vulnerable
Hemiscyllium henryi,Vulnerable
Hemiscyllium michaeli,Vulnerable
Dipturus wuhanlingi,Data Deficient
Squalus mahia,Data Deficient
Squalus margaretsmithae,Least Concern
Hemiscyllium freycineti,Near Threatened
Gymnura marmorata,Near Threatened
Gymnura crebripunctata,Near Threatened
Chimaera opalescens,Least Concern
Etmopterus alphus,Least Concern
Squalus acanthias,Vulnerable
Etmopterus compagnoi,Least Concern
Etmopterus sculptus,Least Concern
Bythaelurus bachi,Data Deficient
Bythaelurus naylori,Data Deficient
Rhinobatos austini,Data Deficient
Raja ocellifera,Endangered
Rajella paucispinosa,Least Concern
Chimaera buccanigella,Data Deficient
Chimaera didierae,Data Deficient
Chimaera willwatchi,Data Deficient
Hydrolagus erithacus,Data Deficient
Rajella leoparda,Least Concern
Chimaera orientalis,Data Deficient
Squalus albicaudus,Data Deficient
Squalus bahiensis,Data Deficient
Squalus lobularis,Data Deficient
Squalus quasimodo,Data Deficient
Scyliorhinus cabofriensis,Least Concern
Scyliorhinus ugoi,Least Concern
Discopyge castelloi,Data Deficient
Dipturus argentinensis,Data Deficient
Squatina varii,Least Concern
Rhynchorhina mauritaniensis,Critically Endangered
Squatina guggenheim,Endangered
Squatina formosa,Endangered
Squatina tergocellatoides,Endangered
Bythaelurus hispidus,Near Threatened
Mustelus mosis,Near Threatened
Maculabatis ambigua,Near Threatened
Carcharhinus humani,Data Deficient
Chlamydoselachus africana,Least Concern
Heterodontus ramalheira,Data Deficient
Pristiophorus nancyae,Least Concern
Eridacnis radcliffei,Least Concern
Dipturus johannisdavisi,Data Deficient
Dipturus springeri,Least Concern
Torpedo sinuspersici,Data Deficient
Bythaelurus tenuicephalus,Least Concern
Bythaelurus vivaldii,Data Deficient
Bythaelurus stewarti,Data Deficient
Pristis pristis,Critically Endangered
Anoxypristis cuspidata,Endangered
Pristis clavata,Endangered
Pristis pectinata,Critically Endangered
Pristis zijsron,Critically Endangered
Etmopterus benchleyi,Least Concern
Carcharhinus cerdale,Critically Endangered
Bythaelurus giddingsi,Least Concern
Notoraja martinezi,Least Concern
Urobatis pardalis,Least Concern
Styracura pacifica,Vulnerable
Rhynchobatus cooki,Critically Endangered
Atlantoraja castelnaui,Critically Endangered
Parmaturus angelae,Vulnerable
Hexanchus vitulus,Least Concern
Squalus clarkae,Least Concern
Mollisquama mississippiensis,Least Concern
Stegostoma tigrinum,Endangered
Squalus hawaiiensis,Least Concern
Etmopterus lailae,Data Deficient
Etmopterus marshae,Least Concern
Etmopterus samadiae,Least Concern
Pristiophorus lanae,Near Threatened
Apristurus yangi,Least Concern
Galeus corriganae,Least Concern
Parmaturus nigripalatum,Data Deficient
Cephaloscyllium pictum,Data Deficient
Cephaloscyllium stevensi,Least Concern
Gollum suluensis,Least Concern
Planonasus indicus,Data Deficient
Dipturus amphispinus,Data Deficient
Notoraja sereti,Least Concern
Sinobatis andamanensis,Least Concern
Sinobatis brevicauda,Least Concern
Sinobatis kotlyari,Least Concern
Centrophorus longipinnis,Endangered
Centrophorus lesliei,Endangered
Cephaloscyllium fasciatum,Critically Endangered
Chimaera panthera,Least Concern
Mobula eregoodoo,Endangered
Cetorhinus maximus,Endangered
Squalus formosus,Endangered
Etmopterus joungi,Least Concern
Scoliodon macrorhynchos,Near Threatened
Dipturus chinensis,Vulnerable
Akheilos suwartanai,Data Deficient
Urotrygon cimar,Near Threatened
Pliotrema annae,Data Deficient
Pliotrema kajae,Data Deficient
Pseudocarcharias kamoharai,Least Concern
Sphyrna gilberti,Data Deficient
Carcharhinus amblyrhynchos,Endangered
Triaenodon obesus,Vulnerable
Maculabatis gerrardi,Endangered
Pateobatis bleekeri,Endangered
Pateobatis uarnacoides,Endangered
Hemiscyllium halmahera,Near Threatened
Okamejei cairae,Vulnerable
Mobula mobular,Endangered
Pateobatis jenkinsii,Vulnerable
Pristiophorus cirratus,Least Concern
Squatina californica,Near Threatened
Urogymnus granulatus,Vulnerable
Dipturus lamillai,Least Concern
Hypanus berthalutzae,Vulnerable
Callorhinchus capensis,Least Concern
